"Headword","Definitions","Part of Speech","Semantic Group","Frequency Rank"
"vestīgium -ī n.","footstep, footprint, track","Noun: 2nd Declension","Travel","716"
"uxor uxōris f.","wife","Noun: 3rd Declension","The Household","552"
"vetō -āre vetuī vetītum","forbid","Verb: 1st Conjugation","Verbs of Compelling/Directing","665"
"vetus veteris","old","Adjective: 3rd Declension","Time","295"
"vix","scarcely","Adverb","Conjunctions/Adverbs","352"
"vestis -is f.","garment, robe, clothing","Noun: 3rd Declension","Life and Being","413"
"vōx vōcis f.","voice, utterance","Noun: 3rd Declension","Speech/Oratory","169"
"urbs urbis f.","city","Noun: 3rd Declension","The City","82"
"ūsque","up to; continuously","Adverb","Time","527"
"ūsus -ūs m.","use, experience","Noun: 4th Declension","Education/Knowledge","446"
"ut, utī","as (+ indic.); so that, with the result that (+ subj.); (in questions) in what manner, how; (exclam.) to what an extent! how!","Adverb","Conjunctions/Adverbs","15"
"uterque utraque utrumque","each of two","Conjunction","Measurement","243"
"ūtilis -e","useful","Adjective: 3rd Declension","Making/Doing","850"
"ūtor ūtī ūsus sum","use, consume, employ (+ abl.)","Verb: Deponent","Making/Doing","330"
"utrum","whether; utrum ... an: whether ... or","Conjunction","Conjunctions/Adverbs","827"
"vulgō","commonly","Adverb","The City","991"
"vulgus -ī n. and m.","the common people","Noun: 2nd Declension","The City","675"
"vulnus -eris n.","wound","Noun: 3rd Declension","Violence","327"
"vultus -ūs m.","look, expression, face","Noun: 4th Declension","The Body","209"
"vōtum -ī n.","solemn promise, vow; hope","Noun: 2nd Declension","Religion","334"
"vōs","you (pl.); (gen.) vestrum/vestrī, (dat./abl.) vōbīs, (acc.) vōs","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","130"
"voluptās -ātis f.","pleasure, enjoyment","Noun: 3rd Declension","Social Life","378"
"ūllus -a -um","any, anyone","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","178"
"ultimus -a -um","farthest, final, last, ultimate","Adjective: 1st and 2nd Declension","Geography","432"
"ultrā","beyond, further (adv. and prep. + acc.)","Preposition","Place","600"
"umbra -ae f.","shade, shadow","Noun: 1st Declension","Vision","257"
"umquam","ever","Adverb","Time","482"
"unda -ae f.","wave, flowing water, water","Noun: 1st Declension","Earth and Water","207"
"unde","from where","Adverb","Place","300"
"undique","from all sides, on all sides","Adverb","Place","686"
"voluntās -ātis f.","wish, desire","Noun: 3rd Declension","Emotions","859"
"volucris -is f./m.","bird","Noun: 3rd Declension","Animals/Plants","976"
"volucer -cris -cre","flying","Adjective: 3rd Declension","Animals/Plants","977"
"volō velle voluī","wish, be willing","Verb: Irregular","Emotions","66"
"vocō -āre","call","Verb: 1st Conjugation","Speech/Oratory","158"
"ūnus -a -um","one","Adjective: 1st and 2nd Declension","Measurement","53"
"suus -a -um","his own, her own, its own","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","27"
"sustineō sustinēre sustinuī sustentum","hold up, sustain","Verb: 2nd Conjugation","Social Life","762"
"suscipiō -cipere -cēpī ceptum","take up","Verb: 3rd Conjugation -iō","Verbs of Transport","937"
"surgō surgere surrēxī surrēctum","rise","Verb: 3rd Conjugation -ō","Earth and Water","570"
"suprā","above, beyond (adv. and prep. +acc.)","Preposition","Place","588"
"superus -a -um","situated above, upper","Adjective: 1st and 2nd Declension","Religion","99"
"supersum -esse -fuī","remain, survive; be superfluous (to)","Verb: Irregular","Place","623"
"superō -āre","overcome, surpass, defeat","Verb: 1st Conjugation","War and Peace","668"
"superī -ōrum m. pl.","those above, i.e. the gods","Noun: 2nd Declension","Religion","714"
"taceō -ēre -uī -itum","be silent; tacitus -a -um, silent","Verb: 2nd Conjugation","Other Senses","369"
"tālis tāle","such","Adjective: 3rd Declension","Measurement","203"
"tam","so, so much","Adverb","Conjunctions/Adverbs","96"
"tegō tegere tēxī tēctum","cover, conceal","Verb: 3rd Conjugation -ō","Deception","376"
"tēctum -ī n.","roof; building, house","Noun: 2nd Declension","The House","386"
"tardus -a -um","slow, sluggish, lingering","Adjective: 1st and 2nd Declension","Time","738"
"tantus -a -um","so great, so much; (as pronoun) such a quantity, so much; tantī, at such a price, of such worth","Adjective: 1st and 2nd Declension","Measurement","105"
"tantum, tantummodo","only","Adverb","Measurement","216"
"tangō tangere tetigī tāctum","touch","Verb: 3rd Conjugation -ō","Other Senses","534"
"tandem","finally","Adverb","Conjunctions/Adverbs","427"
"tamquam","so as, just as","Adverb","Conjunctions/Adverbs","363"
"tamen","nevertheless, still","Conjunction","Conjunctions/Adverbs","58"
"superbus -a -um","overbearing, proud, haughty","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","656"
"super","over (adv. and prep. +acc.)","Adverb","Place","401"
"sūmō sūmere sūmpsī sūmptum","take up","Verb: 3rd Conjugation -ō","Motion","454"
"spīritus -ūs m.","breath, life, spirit","Noun: 4th Declension","Life and Being","703"
"spēs speī f.","hope","Noun: 5th Declension","Emotions","232"
"spērō -āre","to hope","Verb: 1st Conjugation","Emotions","648"
"spectō -āre","look at, consider","Verb: 1st Conjugation","Vision","473"
"speciēs -ēī f.","aspect, appearance","Noun: 5th Declension","Vision","599"
"spatium -ī n.","space","Noun: 2nd Declension","Air and Fire","426"
"spargō spargere sparsī sparsum","scatter","Verb: 3rd Conjugation -ō","Earth and Water","532"
"sors sortis f.","lot, fate, destiny; oracle","Noun: 3rd Declension","Religion","639"
"soror -ōris f.","sister","Noun: 3rd Declension","The Household","497"
"statim","immediately","Adverb","Time","798"
"statuō -ere -uī -ūtum","set up, determine","Verb: 3rd Conjugation -ō","Justice","678"
"sum esse fuī futūrum","be, exist; fut. infin. often = fore, impf. subj. often = forem for essem","Verb: Irregular","Life and Being","2"
"sui sibi sē/sēsē","him- her- itself, themselves","Pronoun","Pronouns/Interrogatives","17"
"subitō","suddenly, unexpectedly","Adverb","Time","848"
"subeō -īre -iī -itum","go under; endure","Verb: Irregular","Motion","538"
"sub","under, close to (+acc. or abl.)","Preposition","Place","118"
"studium -ī n.","eagerness, zeal","Noun: 2nd Declension","Emotions","450"
"studeō -ēre -uī","be eager, be zealous, care for (+ dat.)","Verb: 2nd Conjugation","Emotions","989"
"stō stāre stetī statum","stand","Verb: 1st Conjugation","Life and Being","168"
"stella -ae f.","star","Noun: 1st Declension","Air and Fire","934"
"sonō sonāre sonuī sonitum","sound, resound","Verb: 1st Conjugation","Other Senses","583"
"supplicium -ī n.","punishment, penalty","Noun: 2nd Declension","Justice","683"
"tuus -a -um","your","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","44"
"tūtus -a -um","safe, protected","Adjective: 1st and 2nd Declension","War and Peace","365"
"turpis -e","ugly, unsightly; disgraceful","Adjective: 3rd Declension","Other Senses","377"
"turbō -āre","disturb, confuse","Verb: 1st Conjugation","Speech/Oratory","868"
"turba -ae f.","crowd, uproar","Noun: 1st Declension","The City","323"
"tum or tunc","then","Adverb","Time","56"
"tū tuī tibi tē","you (sing.)","Pronoun","Pronouns/Interrogatives","9"
"trīstis -e","sad, solemn, grim","Adjective: 3rd Declension","Emotions","275"
"tribūnus -ī m.","tribune, title of various Roman officials, as mīlitum, plēbis, aerāriī","Noun: 2nd Declension","The City","807"
"vacō vacāre","be empty, open, unoccupied","Verb: 1st Conjugation","Measurement","724"
"vacuus -a -um","empty","Adjective: 1st and 2nd Declension","Measurement","673"
"vagus -a -um","wandering, shifting","Adjective: 1st and 2nd Declension","Travel","674"
"vel","or else, or; even; vel ... vel: either … or","Conjunction","Conjunctions/Adverbs","141"
"vehō vehere vēxī vectum","carry; vehor vehī vectus sum: travel, ride","Verb: 3rd Conjugation -ō","Travel","632"
"ve","or (postpositive enclitic)","Conjunction","Conjunctions/Adverbs","307"
"ubi","where, when","Adverb","Place","92"
"vātēs -is m.","poet, bard","Noun: 3rd Declension","Writing/Poetry","684"
"varius -a -um","changing, varied, various","Adjective: 1st and 2nd Declension","Other Senses","631"
"vanus -a -um","empty; false, deceitful","Adjective: 1st and 2nd Declension","Deception","856"
"validus -a -um","strong","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","816"
"valeō valēre valuī","be strong, excel, be valid, prevail; valē: farewell!","Verb: 2nd Conjugation","Social Life","539"
"trēs tria","three","Adjective: Numeral","Measurement","533"
"trānseō -īre -iī -itum","go across","Verb: Irregular","Travel","431"
"trahō trahere trāxī trāctum","drag, draw","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","213"
"temptō -āre","try, test","Verb: 1st Conjugation","Making/Doing","430"
"tener -era -erum","tender","Adjective: 1st and 2nd Declension","Other Senses","490"
"teneō -ēre -uī tentum","hold, keep","Verb: 2nd Conjugation","Other Senses","106"
"tenebrae -brārum f. pl.","darkness, the shadows","Noun: 1st Declension","Vision","775"
"tendō tendere tetendī tentum","stretch, extend, direct (one’s steps or course)","Verb: 3rd Conjugation -ō","Travel","529"
"tempus -oris n.","time","Noun: 3rd Declension","Time","89"
"templum -ī n.","consecrated ground; temple","Noun: 2nd Declension","Religion","485"
"tempestas -tātis f.","period of time, season; bad weather, storm","Noun: 3rd Declension","Lengths of Time","753"
"tēlum -ī n.","missile, weapon, spear","Noun: 2nd Declension","War and Peace","255"
"tellus tellūris f.","earth","Noun: 3rd Declension","Earth and Water","337"
"tergum -ī n.","back, rear; ā tergō: from the rear","Noun: 2nd Declension","The Body","474"
"terra -ae f.","land","Noun: 1st Declension","Earth and Water","70"
"trādō -dere -didī -ditum","hand over, yield","Verb: 3rd Conjugation -ō","Business/Money","297"
"tōtus -a -um","whole, entire","Adjective: 1st and 2nd Declension","Measurement","78"
"tot","so many","Adverb","Measurement","259"
"tollō tollere sustulī sublātum","raise up, destroy","Verb: Irregular","Violence","293"
"terreō terrēre terruī territum","terrify, frighten","Verb: 2nd Conjugation","Emotions","705"
"timor -ōris m.","fear","Noun: 3rd Declension","Emotions","536"
"timeō -ēre -uī","to fear, to dread","Verb: 2nd Conjugation","Emotions","153"
"testis -is m.","witness","Noun: 3rd Declension","Justice","741"
"tertius -a -um","third","Adjective: 1st and 2nd Declension","Measurement","682"
"rīpa -ae f.","bank of a river","Noun: 1st Declension","Earth and Water","662"
"rīdeō -ēre rīsī rīsum","laugh, laugh at","Verb: 3rd Conjugation -ō","Emotions","874"
"rēx rēgis m.","king","Noun: 3rd Declension","The City","60"
"reus -ī m.","defendant","Noun: 2nd Declension","Justice","888"
"revocō -āre","call back, recall","Verb: 1st Conjugation","Social Life","813"
"revertō -vertere -vertī","turn back","Verb: 3rd Conjugation -ō","Motion","995"
"retineō -tinēre -tinuī -tentum","hold back, keep","Verb: 2nd Conjugation","Verbs of Compelling/Directing","647"
"respondeō -spondēre -spondī -spōnsum","answer","Verb: 2nd Conjugation","Speech/Oratory","535"
"respicio -ere -spēxī -spectum","look back, regard, consider","Verb: 3rd Conjugation -iō","Vision","722"
"rēs reī f.","thing (rēs pūblica, commonwealth; rēs familiāris, family property, estate; rēs mīlitāris, art of war; rēs novae, revolution)","Noun: 5th Declension","Life and Being","38"
"repetō -petere -petīvī -petītum","demand, exact; revisit; call to mind, recollect; repeat","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","651"
"rogō -āre","ask","Verb: 1st Conjugation","Speech/Oratory","551"
"rumpō rumpere rūpī ruptum","break, rupture","Verb: 3rd Conjugation -ō","Violence","480"
"sanguis -inis m.","blood","Noun: 3rd Declension","The Body","214"
"sānctus -a -um","sacred, inviolable","Adjective: 1st and 2nd Declension","Religion","659"
"salūs -ūtis f.","health, safety","Noun: 3rd Declension","Life and Being","549"
"saevus -a -um","fierce, raging, wrathful","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","244"
"saepe","often","Adverb","Time","145"
"saeculum -ī n.","generation, age, century","Noun: 2nd Declension","Lengths of Time","776"
"sacerdōs -dōtis m./f.","priest, priestess","Noun: 3rd Declension","Religion","939"
"sacer sacra sacrum","holy, sacred","Adjective: 1st and 2nd Declension","Religion","398"
"rūs rūris n.","country","Noun: 3rd Declension","Geography","879"
"rūrsus","back, again","Adverb","Place","440"
"sānus -a -um","sound, sane","Adjective: 1st and 2nd Declension","Life and Being","946"
"reperiō -perīre -pperī -pertum","find, find out","Verb: 4th Conjugation","Education/Knowledge","765"
"recēns -ntis","fresh, new","Adjective: 3rd Declension","Time","781"
"recēdō -cēdere -cessī -cessum","step back, recoil, recede, withdraw","Verb: 3rd Conjugation -ō","Motion","826"
"ratiō -ōnis f.","method, plan, reason","Noun: 3rd Declension","Education/Knowledge","256"
"rārus -a -um","wide apart, loose, thin; rare, seldom","Adjective: 1st and 2nd Declension","Measurement","752"
"rapiō rapere rapuī raptum","seize, tear away","Verb: 3rd Conjugation -iō","Violence","273"
"quotiēns","interr. how many times? how often? rel. as often as, whenever","Adverb","Pronouns/Interrogatives","970"
"quoque","also, too","Conjunction","Conjunctions/Adverbs","76"
"quoniam","since, seeing that","Conjunction","Conjunctions/Adverbs","510"
"quondam","formerly, once","Adverb","Time","542"
"quōmodo","in what way, how?","Conjunction","Pronouns/Interrogatives","831"
"recipiō -cipere -cēpī -ceptum","take back, receive; sē recipere, betake oneself, go","Verb: 3rd Conjugation -iō","Verbs of Transport","319"
"rēctus -a -um","straight, direct","Adjective: 1st and 2nd Declension","Measurement","823"
"reor rērī rātus sum","think, imagine, suppose, deem","Verb: Deponent","Education/Knowledge","774"
"reliquus -a -um","remaining, rest","Adjective: 1st and 2nd Declension","Measurement","788"
"relinquō -linquere -līquī -lictum","abandon","Verb: 3rd Conjugation -ō","Motion","144"
"regō regere rēxī rēctum","guide, rule","Verb: 3rd Conjugation -ō","The City","554"
"rēgnum -ī n.","kingship, kingdom","Noun: 2nd Declension","Geography","121"
"rēgius -a -um","kingly, royal","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","561"
"regiō -ōnis f.","boundary, region","Noun: 3rd Declension","Geography","585"
"referō referre rettulī relātum","bring back; report","Verb: Irregular","Verbs of Transport","171"
"redeō -īre -iī -itum","go back, return","Verb: Irregular","Motion","301"
"reddō -dere -didī -ditum","return, give back","Verb: 3rd Conjugation -ō","Verbs of Transport","174"
"quisquis quidquid","whoever, whichever","Pronoun","Pronouns/Interrogatives","129"
"quō","for which reason; to or in what place; to what end, for what purpose?","Adverb","Pronouns/Interrogatives","305"
"simul","at the same time","Adverb","Time","274"
"similis -e","like, similar","Adjective: 3rd Declension","Personality Traits/Characteristics","414"
"silva -ae f.","forest, grove","Noun: 1st Declension","Animals/Plants","234"
"sīgnum -ī n.","sign, standard, mark","Noun: 2nd Declension","War and Peace","261"
"sīdus -eris n.","star, constellation","Noun: 3rd Declension","Air and Fire","359"
"sīcut","just as","Adverb","Conjunctions/Adverbs","791"
"sīc","in this manner, thus; sīc ... ut: in the same way as","Adverb","Conjunctions/Adverbs","79"
"sī","if","Conjunction","Conjunctions/Adverbs","16"
"seu","whether; seu ... seu: whether ... or → sīve","Conjunction","Conjunctions/Adverbs","343"
"servus -ī m.","slave","Noun: 2nd Declension","The Household","496"
"sine","without (+ abl.)","Preposition","Non-Directional Prepositions","104"
"singulī -ae -a","one each","Adjective: 1st and 2nd Declension","Measurement","507"
"somnus -ī m.","sleep, slumber; (pl.) dreams","Noun: 2nd Declension","Life and Being","438"
"sōlus -a -um","only, alone","Adjective: 1st and 2nd Declension","Measurement","176"
"solvō solvere solvī solūtum","release, set sail","Verb: 2nd Conjugation","Travel","325"
"sōlum","only, merely","Adverb","Measurement","897"
"soleō -ēre -uī -itum","be accustomed","Verb: 2nd Conjugation","Personality Traits/Characteristics","246"
"sōl sōlis m.","sun","Noun: 3rd Declension","Air and Fire","320"
"socius -a -um","friendly, allied; socius -ī m.: partner, comrade","Adjective: 1st and 2nd Declension","Social Life","372"
"sīve","whether; sīve ... sīve: whether ... or → seu","Conjunction","Conjunctions/Adverbs","362"
"sinus -ūs m.","fold of a garment; lap, bay, gulf","Noun: 4th Declension","Earth and Water","478"
"sinō sinere sīvī situm","allow, let go","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","717"
"servō -āre","save, watch over","Verb: 1st Conjugation","The Household","289"
"serviō -īre","be a slave, serve (+ dat.)","Verb: 4th Conjugation","The Household","883"
"sapiēns -ntis","wise; (as subst.) wise man, sage, philosopher","Adjective: 3rd Declension","Education/Knowledge","453"
"sēcūrus -a -um","free from care, tranquil; careless","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","697"
"secundus -a -um","following; favorable; (as numeral) second","Adjective: 1st and 2nd Declension","Measurement","836"
"scrībō scrībere scrīpsī scrīptum","write","Verb: 3rd Conjugation -ō","Writing/Poetry","568"
"sciō -īre -īvī/-iī -ītum","know","Verb: 4th Conjugation","Education/Knowledge","172"
"scīlicet","certainly, of course","Adverb","Conjunctions/Adverbs","889"
"scientia -ae f.","knowledge","Noun: 1st Declension","Education/Knowledge","971"
"scelus -eris n.","crime, sin","Noun: 3rd Declension","Justice","154"
"saxum -ī n.","rock, cliff, crag","Noun: 2nd Declension","Earth and Water","306"
"satis, sat","enough, sufficient, sufficiently","Adverb","Measurement","341"
"sapientia -ae f.","wisdom","Noun: 1st Declension","Education/Knowledge","797"
"sed","but","Conjunction","Conjunctions/Adverbs","20"
"sedeō sedēre sēdī sessum","sit","Verb: 2nd Conjugation","The House","506"
"sermō -ōnis m.","conversation, discourse","Noun: 3rd Declension","Speech/Oratory","575"
"sequor sequī secūtus sum","follow","Verb: Deponent","Motion","108"
"sepulcrum -ī n.","place of burial, tomb, grave","Noun: 2nd Declension","Life and Being","949"
"sentiō sentīre sēnsī sēnsum","perceive, feel, hear, see","Verb: 4th Conjugation","Other Senses","302"
"sententia -ae f.","opinion, judgment","Noun: 1st Declension","Education/Knowledge","586"
"sēnsus -ūs m.","feeling, emotion, sense","Noun: 4th Declension","Emotions","793"
"senex -is m.","old man, elder; senior, older","Noun: 3rd Declension","People","558"
"senātus -ūs m.","senate","Noun: 4th Declension","The City","329"
"semper","always, ever","Adverb","Time","149"
"semel","once","Adverb","Time","789"
"sēdēs -is f.","seat, abode, habitation","Noun: 3rd Declension","The House","403"
"prīncipium -ī n.","beginning","Noun: 2nd Declension","Time","948"
"prīnceps -cipis","first, chief; (as subst.) leader, person in charge","Adjective: 3rd Declension","The City","317"
"prīmus -a -um","first","Adjective: 1st and 2nd Declension","Time","91"
"prīmum","at first, firstly","Adverb","Time","252"
"prex precis f.","prayers, entreaties","Noun: 3rd Declension","Religion","520"
"pretium -ī n.","price, worth, reward; pretium operae: a reward for trouble","Noun: 2nd Declension","Business/Money","629"
"premō premere pressī pressum","press, pursue, overwhelm","Verb: 3rd Conjugation -ō","War and Peace","240"
"precor -ārī","pray, invoke","Verb: Deponent","Religion","492"
"praetor -ōris m.","praetor, one of the chief Roman magistrates","Noun: 3rd Declension","The City","878"
"prior prius","earlier, preceding","Adjective: 3rd Declension","Time","526"
"prīvātus -a -um","personal, private","Adjective: 1st and 2nd Declension","Social Life","882"
"prohibeō -ēre -uī -itum","restrain, keep away","Verb: 2nd Conjugation","Verbs of Compelling/Directing","604"
"proficīscor -ficīscī -fectus sum","set forth, go","Verb: Deponent","Travel","835"
"proelium -ī n.","battle","Noun: 2nd Declension","War and Peace","348"
"prōdō prōdere prōdidī prōditum","publish, hand down; give over, betray","Verb: 3rd Conjugation -ō","Verbs of Transport","929"
"procul","at a distance","Adverb","Place","397"
"prōcēdō -cēdere -cessī -cessum","go forth, advance","Verb: 3rd Conjugation -ō","Motion","746"
"probō -āre","approve, prove; convince one (dat.) of a thing (acc.)","Verb: 1st Conjugation","Verbs of Compelling/Directing","784"
"prō","for, on behalf of, in proportion to (+abl.)","Preposition","Non-Directional Prepositions","128"
"prius or priusquam","before","Adverb","Time","484"
"praetereā","besides, moreover","Adverb","Conjunctions/Adverbs","681"
"praeter","by, along, past; besides, except (+ acc.)","Preposition","Place","756"
"praestō -stāre -stitī -stitum","excel, exhibit","Verb: 1st Conjugation","Other Senses","423"
"posterus -a -um","next, later","Adjective: 1st and 2nd Declension","Time","877"
"posteā","afterwards","Adverb","Time","964"
"post","after (adv. and prep. +acc.)","Preposition","Time","164"
"possum posse potuī","be able","Verb: Irregular","Making/Doing","23"
"pōscō pōscere popōscī","demand, claim; inquire into","Verb: 3rd Conjugation -ō","Speech/Oratory","487"
"portō -āre","carry a load","Verb: 1st Conjugation","Measurement","853"
"porta -ae f.","gate","Noun: 1st Declension","The City","759"
"populus -ī m.","people","Noun: 2nd Declension","The City","122"
"postquam","after","Conjunction","Time","384"
"potēns potentis","able, powerful","Adjective: 3rd Declension","Personality Traits/Characteristics","567"
"potestās -ātis f.","power","Noun: 3rd Declension","The City","737"
"praesidium -ī n.","garrison, protection","Noun: 2nd Declension","War and Peace","582"
"praesēns -ntis","present, in person, ready","Adjective: 3rd Declension","Place","822"
"praemium -ī n.","bounty, reward","Noun: 2nd Declension","Business/Money","680"
"praeda -ae f.","booty, prey","Noun: 1st Declension","War and Peace","626"
"praecipiō -cipere -cēpī -ceptum","anticipate, advise, warn","Verb: 3rd Conjugation -iō","Speech/Oratory","945"
"praeceptum -ī n.","rule, precept; command","Noun: 2nd Declension","Justice","825"
"praebeō -ēre -uī -itum","furnish, supply, render","Verb: 2nd Conjugation","Verbs of Transport","584"
"potis -e","powerful, able","Adjective: 3rd Declension","Personality Traits/Characteristics","947"
"pontus -ī m.","the open sea, the deep","Noun: 2nd Declension","Earth and Water","630"
"quisque quaeque quidque","each one, everyone","Pronoun","Pronouns/Interrogatives","197"
"quemadmodum","in what manner, how","Adverb","Pronouns/Interrogatives","531"
"que","and (postpositive enclitic)","Conjunction","Conjunctions/Adverbs","4"
"quattuor","four","Adjective: Numeral","Measurement","867"
"quasi","as if","Adverb","Conjunctions/Adverbs","938"
"quārē","how? why?","Adverb","Pronouns/Interrogatives","786"
"quantus -a -um","(interr.) how great? (rel.) of what size, amount, etc. (as subst.) what amount? (rel.) which amount; quantī, at what price? (rel.) at which price","Pronoun","Pronouns/Interrogatives","311"
"quantum","(adv.) how much? how greatly? how much! how greatly! as much as","Adverb","Pronouns/Interrogatives","557"
"quandō","when?; since; sī quandō: if ever","Adverb","Pronouns/Interrogatives","621"
"queror querī questus sum","complain of, lament","Verb: Deponent","Emotions","518"
"quī quae quod","who, which, what","Pronoun","Pronouns/Interrogatives","3"
"quia","because","Conjunction","Conjunctions/Adverbs","132"
"quis quid","who? what? which?","Pronoun","Pronouns/Interrogatives","212"
"quisquam quicquam/quidquam","any (single) person, anyone at all","Pronoun","Pronouns/Interrogatives","12"
"quīppe","(adv.) indeed, surely","Adverb","Conjunctions/Adverbs","499"
"quīn","(adv.) indeed, in fact; (conjunction) so that ... not (+ subj.)","Adverb","Conjunctions/Adverbs","456"
"quiēscō quiēscere quiēvī quiētum","keep quiet; sleep","Verb: 3rd Conjugation -ō","Life and Being","969"
"quidem","certainly, at least","Adverb","Conjunctions/Adverbs","136"
"quīdam quaedam quoddam","a certain one, someone","Pronoun","Pronouns/Interrogatives","126"
"quīcumque quaecumque quodcumque","who-, whatever","Pronoun","Pronouns/Interrogatives","284"
"quamvīs","however you like; although","Adverb","Conjunctions/Adverbs","489"
"quamquam","however, although","Conjunction","Conjunctions/Adverbs","644"
"quam","how?; (after comparative) than","Adverb","Pronouns/Interrogatives","29"
"prōvincia -ae f.","province; official duty","Noun: 1st Declension","The City","620"
"prōtinus","at once, forthwith","Adverb","Time","903"
"prōsum prodesse profuī","be of use, do good, help (+ dat.)","Verb: Irregular","Social Life","373"
"propter","because of (+ acc.)","Preposition","Non-Directional Prepositions","560"
"proprius -a -um","one’s own, peculiar","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","854"
"prōpōnō -pōnere -posuī -positum","put forth, propose, present","Verb: 3rd Conjugation -ō","Speech/Oratory","930"
"properō -āre","hasten, speed","Verb: 1st Conjugation","Motion","537"
"prope","near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost","Preposition","Place","189"
"prōmittō -mittere -mīsī -missum","send forth, offer","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","720"
"pūblicus -a -um","public, belonging to the state","Adjective: 1st and 2nd Declension","The City","517"
"pudor pudōris m.","sense of shame, modesty, propriety","Noun: 3rd Declension","Personality Traits/Characteristics","616"
"quālis -e","of what kind? what?","Pronoun","Pronouns/Interrogatives","263"
"quaerō -rere -sīvī -sītum","seek, inquire","Verb: 3rd Conjugation -ō","Education/Knowledge","113"
"quā","where, how","Pronoun","Pronouns/Interrogatives","336"
"putō -āre","think, suppose","Verb: 1st Conjugation","Education/Knowledge","166"
"pulcher -chra -chrum","beautiful","Adjective: 1st and 2nd Declension","Vision","569"
"pugnō -āre","fight","Verb: 1st Conjugation","Violence","708"
"pūgna -ae f.","fist-fight; battle","Noun: 1st Declension","Violence","650"
"puer puerī m.","boy; slave","Noun: 2nd Declension","People","191"
"puella -ae f.","girl; girl-friend","Noun: 1st Declension","People","233"
"onus oneris n.","load, burden","Noun: 3rd Declension","Measurement","842"
"omnis -e","all, every, as a whole","Adjective: 3rd Declension","Measurement","18"
"ōlim","formerly, at that time","Adverb","Time","574"
"officium -ī n.","service, duty","Noun: 2nd Declension","The City","607"
"offerō offerre obtulī oblātum","present, offer, expose","Verb: Irregular","Verbs of Transport","812"
"odium -ī n.","hatred","Noun: 2nd Declension","Emotions","522"
"ōdī ōdisse","hate","Verb: Irregular","Emotions","790"
"oculus -ī m.","eye","Noun: 2nd Declension","The Body","206"
"occurrō -currere -cucurrī -cursum","run to meet; come into one’s mind","Verb: 3rd Conjugation -ō","Education/Knowledge","677"
"occupō -āre","seize, occupy; anticipate, do a thing first (+ infin.)","Verb: 1st Conjugation","War and Peace","472"
